Typical Measured Spectrum of Semrock FF01-607/70 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
506.4	1.4244e-07
506.6	1.4082e-07
506.8	1.3922e-07
507.0	1.3842e-07
507.2	1.4036e-07
507.4	1.4234e-07
507.6	1.4435e-07
507.8	1.4638e-07
508.0	1.4844e-07
508.2	1.5053e-07
508.4	1.5265e-07
508.6	1.548e-07
508.8	1.5698e-07
509.0	1.592e-07
509.2	1.6144e-07
509.4	1.6371e-07
509.6	1.6602e-07
509.8	1.6836e-07
510.0	1.7073e-07
510.2	1.7313e-07
510.4	1.7557e-07
510.6	1.7804e-07
510.8	1.8055e-07
511.0	1.831e-07
511.2	1.8567e-07
511.4	1.8829e-07
511.6	1.9094e-07
511.8	1.9363e-07
512.0	1.9483e-07
512.2	1.9433e-07
512.4	1.9382e-07
512.6	1.9332e-07
512.8	1.9282e-07
513.0	1.9232e-07
513.2	1.9182e-07
513.4	1.9132e-07
513.6	1.9083e-07
513.8	1.9033e-07
514.0	1.8984e-07
514.2	1.8934e-07
514.4	1.8885e-07
514.6	1.8836e-07
514.8	1.8787e-07
515.0	1.8739e-07
515.2	1.869e-07
515.4	1.8641e-07
515.6	1.8593e-07
515.8	1.8545e-07
516.0	1.8497e-07
516.2	1.8449e-07
516.4	1.8401e-07
516.6	1.8353e-07
516.8	1.8305e-07
517.0	1.8356e-07
517.2	1.8445e-07
517.4	1.8534e-07
517.6	1.8624e-07
517.8	1.8714e-07
518.0	1.8805e-07
518.2	1.8896e-07
518.4	1.8987e-07
518.6	1.9079e-07
518.8	1.9172e-07
519.0	1.9265e-07
519.2	1.9358e-07
